#Id,Vmag,RA,Dec,radial_velocity,radial_velocity_error,Z,GES,RAVE,APOGEE
205916760,12.728,338.820186,-17.545226,-44.9,0.55,-1.9253991549843588,0,0,0
205930631,14.168,333.925642,-17.030835,,,-3.9557379307328446,0,0,0
205939625,13.288,338.244254,-16.717115,0.95,3.28,-5.3427612637351904,0,0,0
205973739,13.588,336.444185,-15.610439000000001,,,-1.99162060857886,0,0,1
205979159,13.994000000000002,336.90452799999997,-15.445985,,,-2.7021431496577097,0,0,0
205997248,13.604000000000001,340.07592900000003,-14.902773000000002,,,-3.1184851176877855,0,0,0
205997718,11.432,335.280661,-14.889636999999999,-95.56,1.08,-1.6736470689936924,0,0,0
206000925,12.867,334.873082,-14.798188,37.82,1.73,-1.7543593045742434,0,0,0
206002338,12.595999999999998,332.58364700000004,-14.759407999999999,21.96,0.43,-1.9032561984529686,0,0,0
206004843,12.162,338.163392,-14.688122,19.06,0.95,-1.532199256233987,0,0,0
206013596,13.15,336.71095,-14.433789,,,-1.4013907032439539,1,1,1
206021225,12.784,340.25834199999997,-14.211428,-0.97,1.57,-1.228454726533147,0,0,0
206023114,11.764000000000001,332.72882000000004,-14.157122,-78.34,4.96,-1.0084535657749025,0,0,0
206024119,13.007,335.695807,-14.127679,-87.71,0.86,-1.331028269505602,0,0,0
206036741,12.934000000000001,330.430516,-13.77805,44.79,0.6,-1.1719390694989331,0,1,0
206043905,12.755999999999998,334.676879,-13.58438,10.99,1.4,-2.1945292998721655,0,0,0
206045102,12.838,335.061149,-13.552814999999999,-12.37,1.31,-2.327221615191277,0,1,0
206054711,13.744000000000002,338.657444,-13.297945,,,-2.44489612525501,0,0,1
206055602,13.237,334.327321,-13.274261,18.12,2.03,-1.89051803779439,0,0,0
206057842,12.7,334.411614,-13.213714999999999,30.02,0.79,-1.401516230995575,0,0,0
206058287,12.280999999999999,334.443672,-13.201770999999999,,,-1.631443985439079,0,0,1
206058359,11.652000000000001,334.82740099999995,-13.199824,-8.66,2.12,-1.4884137137845144,0,0,0
206062004,11.290999999999999,335.772701,-13.103135,10.48,0.39,-1.2963893799039052,0,0,0
206063831,13.649000000000001,335.39523399999996,-13.050901,,,-3.2082019785668656,0,0,0
206069707,14.129000000000001,338.235085,-12.894897,,,-3.02523606080316,0,0,1
206077618,11.682,335.464492,-12.682464,-0.36,0.28,-1.5369483474095544,0,0,0
206079576,12.222000000000001,333.417401,-12.63189,24.88,0.84,-1.5308986550003187,0,0,0
206084311,12.982000000000001,335.280939,-12.509109,26.77,0.99,-2.1744786681661106,0,0,1
206100485,13.084000000000001,336.583034,-12.086717,-119.44,1.55,-2.0076110525607316,0,0,1
206101493,12.632,330.033036,-12.061471000000001,1.9,1.42,-2.484636291450578,0,0,0
206115954,12.779000000000002,332.682307,-11.68708,-39.17,2.04,-1.150156806431465,0,0,0
206121277,13.052999999999999,337.104124,-11.542634,37.85,2.14,-1.4578147213951882,0,0,0
206122659,12.65,336.941172,-11.506494,,,-2.480478952016444,0,0,0
206123865,12.687999999999999,330.46866800000004,-11.474632000000001,,,-3.5906482911103894,0,0,1
206144635,12.38,336.007165,-10.933800999999999,-20.43,0.43,-1.0579917374747594,0,0,0
206190527,12.659,343.972592,-9.920935,5.43,1.0,-1.262241595107771,0,0,0
206191788,12.808,339.20942,-9.899478,70.77,5.04,-1.3491990169390222,0,0,0
206198028,12.595,339.076401,-9.792238000000001,-33.18,0.58,-1.7019794176757772,0,0,0
206207543,12.267000000000001,334.469287,-9.636806,20.59,0.56,-1.5042144320358621,0,0,1
206224070,11.668,342.410325,-9.378396,-70.53,1.01,-2.136831365568998,0,1,0
206226228,13.880999999999998,338.54318900000004,-9.344292,,,-2.3540893540712897,0,0,1
206232486,13.497,335.40957000000003,-9.252432,,,-1.6971822187759873,0,0,0
206232745,12.965,343.162773,-9.248872,-54.4,1.81,-1.9790267584812824,0,0,0
206246830,12.177,335.931237,-9.036463000000001,-58.09,0.43,-1.0411201654089774,0,0,0
206265038,13.152000000000001,335.410934,-8.762011,-11.86,1.31,-1.9497648532505303,0,0,0
206266824,12.347000000000001,335.178207,-8.736005,,,-1.452026645037798,0,0,0
206269742,14.515999999999998,335.405494,-8.693982,,,-4.792390929623256,0,0,0
206273779,13.14,330.664349,-8.633412,-100.05,1.34,-2.332060829898062,0,0,0
206281827,13.154000000000002,330.394158,-8.515489,-17.43,1.32,-2.0380491726974266,0,0,0
206296941,12.102,335.249692,-8.288333,10.31,0.42,-1.0573025305312262,0,0,0
206311391,13.22,334.671501,-8.066051,,,-1.3061626208775148,0,0,0
206314187,11.684000000000001,335.583798,-8.021857,-13.8,3.19,-1.0877221103406742,0,0,0
206315277,13.427,339.349933,-8.00417,,,-2.4833309203514533,0,0,0
206322094,13.270999999999999,330.814221,-7.895353999999999,36.1,2.5,-1.7038567265518838,1,0,0
206337829,12.225,331.01592200000005,-7.647764,-33.44,0.73,-1.7014225725856287,0,0,0
206360126,12.833,336.437979,-7.2817169999999996,,,-1.859525301378834,0,0,0
206362356,12.993,337.351939,-7.245284,,,-1.9277061020618045,1,0,0
206369951,11.987,338.522221,-7.1182,28.65,0.44,-1.552744013180038,0,1,0
206409744,13.514000000000001,333.496654,-6.4721400000000004,,,-2.5763175611540894,0,0,0
206421600,12.565999999999999,333.783306,-6.273311,-12.08,2.3,-1.2033573384840837,0,0,0
206469745,12.195,332.859867,-5.463737999999999,-49.86,0.92,-1.3979769373368591,0,0,0
